coord_sys_code, west_bound_lon, north_bound_lat, east_bound_lon, south_bound_lat
2000,-63.22,18.33,-62.92,18.11
2001,-61.95,17.22,-61.61,16.94
2002,-61.55,15.69,-61.2,15.14
2003,-61.84,12.57,-61.35,11.94
2004,-62.29,16.87,-62.08,16.62
2005,-62.92,17.46,-62.5,17.06
2006,-61.13,14.16,-60.82,13.66
2007,-61.52,13.44,-61.07,12.54
2008,-57.0,53.76,-54.0,46.6
2009,-60.0,52.01,-57.1,50.2
2010,-63.0,52.01,-60.0,47.16
2011,-66.0,60.42,-63.0,47.95
2012,-69.0,59.0,-66.0,47.31
2013,-72.0,61.8,-69.0,45.01
2014,-75.0,62.53,-72.0,44.99
2015,-78.0,62.62,-75.0,45.37
2016,-79.85,62.45,-78.0,46.23
2017,-75.0,45.65,-74.35,44.98
2018,-78.0,46.25,-75.0,43.63
2019,-81.0,47.33,-77.99,42.26
2020,-83.6,46.0,-81.0,41.67
2021,-82.5,55.21,-79.5,46.0
2022,-85.5,55.59,-82.5,46.0
2023,-88.5,56.7,-85.5,47.17
2024,-91.5,56.9,-88.5,47.97
2025,-94.5,55.2,-91.5,48.06
2026,-95.16,53.24,-94.5,48.69
2027,-95.17,56.2,-90.0,48.03
2028,-90.0,56.9,-84.0,46.11
2029,-84.0,55.37,-78.0,41.67
2030,-78.0,46.25,-74.35,43.63
2031,-79.85,62.45,-78.0,46.23
2032,-78.0,62.62,-72.0,44.99
2033,-72.0,61.8,-66.0,45.01
2034,-66.0,60.42,-60.0,47.16
2035,-60.0,52.01,-57.1,50.2
2036,-69.05,48.07,-63.7,44.56
2037,-72.0,61.5,-66.0,44.6
2038,-66.0,60.0,-60.0,43.2
2039,34.17,33.28,35.69,29.45
2040,-6.0,10.46,-2.48,4.92
2041,-6.0,10.46,-2.48,4.92
2042,-8.61,10.74,-6.0,4.29
2043,-8.61,10.74,-6.0,4.29
2044,102.14,23.33,108.0,8.5
2045,108.0,21.56,109.52,10.42
2046,14.35,-22.68,14.6,-23.15
2047,16.45,-28.03,18.0,-33.1
2048,17.99,-28.38,20.0,-34.88
2049,19.99,-24.76,22.01,-34.88
2050,22.0,-25.26,24.01,-34.26
2051,24.0,-24.71,26.01,-34.26
2052,26.0,-22.92,28.0,-33.83
2053,27.99,-22.13,30.0,-33.03
2054,29.99,-22.22,32.02,-31.38
2055,31.95,-26.8,32.95,-28.94
2056,5.96,47.81,10.49,45.82
2057,52.5,27.61,52.71,27.39
2058,44.03,39.78,48.0,30.99
2059,48.0,39.71,54.0,25.47
2060,54.0,38.29,60.0,25.32
2061,60.0,37.06,63.34,25.02
2062,-9.37,43.82,3.39,35.95
2063,-15.13,12.68,-12.0,9.01
2064,-12.0,12.51,-7.65,7.19
2065,12.09,51.06,22.56,47.73
2066,-60.9,11.41,-60.44,11.08
2067,-61.98,10.9,-60.85,9.99
2068,9.31,30.49,10.01,25.37
2069,10.0,33.23,12.0,23.51
2070,12.0,33.06,14.0,22.8
2071,14.0,32.79,16.0,22.61
2072,16.0,31.34,18.01,22.51
2073,18.0,32.17,20.0,21.54
2074,20.0,33.0,22.0,20.54
2075,22.0,32.97,24.0,19.5
2076,24.0,32.15,25.21,19.99
2077,9.31,33.23,12.0,23.51
2078,12.0,33.06,18.01,22.51
2079,18.0,33.0,24.0,19.5
2080,24.0,32.15,25.21,19.99
2081,-70.51,-36.14,-68.01,-40.54
2082,-69.5,-45.19,-67.5,-46.7
2083,-68.64,-52.59,-67.5,-54.9
2084,-68.62,-51.65,-66.0,-54.61
2085,-85.01,23.25,-76.91,21.38
2086,-78.69,21.5,-74.07,19.77
2087,9.31,33.23,15.0,22.61
2088,7.81,38.41,13.67,33.22
2089,42.0,17.53,48.0,11.57
2090,48.0,19.0,54.0,9.45
2091,43.37,17.44,48.0,12.54
2092,48.0,19.0,53.14,13.94
2093,105.49,11.03,107.59,9.02
2094,106.54,11.15,110.0,7.99
2095,-16.77,12.69,-13.64,10.87
2096,128.0,38.64,129.65,34.49
2097,126.0,38.33,128.0,33.96
2098,124.53,38.04,126.0,33.99
2099,50.69,26.2,51.68,24.55
2100,19.57,41.75,28.3,34.88
2101,-72.25,11.0,-71.5,10.0
2102,-72.25,11.0,-71.5,10.0
2103,-72.25,11.0,-71.5,10.0
2104,-71.5,10.51,-71.17,10.0
2105,171.99,-34.1,176.12,-39.01
2106,175.75,-37.22,177.23,-39.13
2107,176.73,-37.49,178.63,-39.04
2108,175.8,-38.87,178.07,-40.57
2109,173.68,-38.4,175.44,-39.78
2110,174.88,-38.87,176.33,-39.55
2111,174.4,-39.46,176.27,-40.97
2112,175.01,-40.29,176.55,-41.67
2113,174.52,-40.91,175.36,-41.5
2114,172.16,-40.44,173.13,-41.22
2115,172.4,-40.66,174.08,-42.18
2116,171.96,-40.75,172.7,-41.49
2117,171.27,-41.42,172.41,-42.19
2118,171.15,-41.5,172.75,-42.74
2119,171.88,-42.09,173.55,-42.95
2120,172.95,-40.85,174.46,-42.65
2121,170.39,-42.41,171.89,-43.23
2122,169.21,-43.0,170.89,-43.85
2123,168.02,-43.67,170.01,-44.4
2124,171.11,-42.69,173.38,-43.96
2125,170.68,-43.13,172.26,-44.25
2126,169.82,-43.35,171.55,-44.98
2127,168.62,-43.71,170.24,-45.4
2128,167.72,-44.29,169.11,-45.58
2129,166.37,-44.53,168.21,-46.33
2130,169.77,-44.61,171.24,-45.82
2131,168.64,-45.23,170.87,-46.73
2132,167.29,-45.33,168.97,-47.33
2133,162.0,-39.68,168.0,-55.89
2134,168.0,-30.78,174.0,-55.95
2135,174.0,-26.42,180.0,-54.32
2136,-3.25,11.16,1.23,4.67
2137,-3.79,6.06,2.1,1.4
2138,-79.85,62.62,-57.1,44.99
2139,-57.0,53.76,-54.0,46.6
2140,-60.0,52.0,-57.1,50.1
2141,-63.0,52.01,-60.0,47.16
2142,-66.0,60.42,-63.0,47.95
2143,-69.0,59.0,-66.0,47.31
2144,-72.0,61.8,-69.0,45.01
2145,-75.0,62.53,-72.0,44.99
2146,-78.0,62.62,-75.0,45.37
2147,-79.85,62.45,-78.0,46.23
2148,-60.0,52.01,-57.1,50.2
2149,-78.0,62.62,-72.0,44.99
2150,-79.85,62.45,-78.0,46.23
2151,-108.0,60.0,-102.0,49.0
2152,-114.0,60.0,-108.0,49.0
2153,-120.0,60.0,-114.0,49.0
2154,-9.86,51.56,10.38,41.15
2155,-173.75,-10.02,-165.2,-17.56
2156,-173.75,-10.02,-165.2,-17.56
2157,-10.56,55.43,-5.34,51.39
2158,-10.56,55.43,-5.34,51.39
2159,-13.34,8.55,-13.13,8.32
2160,-13.34,8.55,-13.13,8.32
2161,-13.35,9.94,-12.0,7.15
2162,-12.0,10.0,-10.26,6.88
2163,167.65,74.71,-65.69,15.56
2164,-7.55,5.19,-3.11,1.02
2165,-7.55,5.19,-3.11,1.02
2166,9.92,51.56,10.5,50.35
2167,10.5,54.74,13.5,48.97
2168,9.92,51.56,10.5,50.35
2169,5.73,50.19,6.53,49.44
2170,13.38,46.88,16.61,45.42
2171,18.0,52.34,24.15,49.0
2172,19.0,54.51,23.95,51.33
2173,14.14,54.89,20.0,52.16
2174,14.14,53.34,19.09,49.39
2175,18.33,51.34,19.67,49.39
2176,14.14,55.35,16.5,50.26
2177,16.5,55.93,19.5,49.39
2178,19.5,54.55,22.5,49.09
2179,22.5,54.41,24.15,49.0
2180,14.14,55.93,24.15,49.0
2188,-31.34,39.77,-31.02,39.3
2189,-28.9,39.14,-26.97,38.32
2190,-25.92,37.96,-24.62,36.87
2191,-17.31,33.15,-16.23,32.35
2192,-4.87,51.14,8.23,42.33
2193,166.37,-34.1,178.63,-47.33
2194,-173.75,-10.02,-165.2,-17.56
2195,-170.88,-14.11,-168.09,-14.59
2196,8.0,57.8,11.29,54.67
2197,10.79,56.18,12.69,54.51
2198,14.59,55.36,15.24,54.94
2199,18.46,42.67,21.06,39.63
2200,-69.05,48.07,-63.7,44.56
2201,-73.38,11.62,-71.99,7.02
2202,-72.0,15.64,-66.0,0.73
2203,-66.0,16.75,-58.95,0.64
2204,-90.31,36.68,-81.65,34.98
2205,-85.96,39.15,-82.47,37.71
2206,25.62,42.11,28.5,36.5
2207,28.5,41.46,31.5,36.06
2208,31.5,42.07,34.5,35.97
2209,34.5,42.15,37.5,35.81
2210,37.5,41.19,40.5,36.66
2211,40.5,41.6,43.5,37.02
2212,43.5,41.02,44.83,36.97
2213,28.64,45.2,31.41,43.44
2214,8.45,4.99,10.4,2.16
2215,8.45,4.99,10.4,2.16
2216,-54.0,73.05,-48.0,60.63
2217,-48.0,62.05,-42.52,59.74
2218,-29.69,72.0,-21.32,69.0
2219,-69.0,48.07,-66.0,43.64
2220,-66.0,47.98,-59.73,43.41
2221,-26.99,69.0,-25.14,68.66
2222,-111.71,37.01,-109.04,31.33
2223,-113.35,37.01,-110.44,31.33
2224,-114.81,37.0,-112.52,32.05
2225,-124.45,42.01,-119.99,39.59
2226,-124.06,40.16,-119.54,38.02
2227,-123.02,38.71,-117.83,36.73
2228,-122.01,37.58,-115.62,35.78
2229,-121.42,35.81,-114.12,32.76
2230,-118.15,34.08,-114.42,32.53
2231,-109.06,41.01,-102.04,39.56
2232,-109.06,40.09,-102.04,38.14
2233,-109.06,38.68,-102.03,36.98
2234,-73.73,42.05,-71.78,40.98
2235,-75.8,39.85,-74.97,38.44
2236,-82.33,30.83,-79.97,24.41
2237,-83.34,29.6,-81.13,26.27
2238,-87.63,31.01,-82.04,29.21
2239,-83.47,34.68,-80.77,30.36
2240,-85.61,35.01,-82.99,30.62
2241,-113.24,44.75,-111.04,41.99
2242,-115.3,45.7,-112.68,41.99
2243,-117.24,49.01,-114.32,41.99
2244,-86.59,41.77,-84.78,37.95
2245,-88.06,41.77,-86.24,37.77
2246,-85.96,39.15,-82.47,37.71
2247,-89.57,38.17,-81.95,36.49
2248,-79.49,39.73,-74.97,37.97
2249,-73.5,42.89,-69.86,41.46
2250,-70.91,41.51,-69.89,41.19
2251,-90.42,48.32,-83.44,45.08
2252,-87.06,45.92,-82.27,43.8
2253,-87.2,44.22,-82.13,41.69
2254,-89.97,35.01,-88.09,30.01
2255,-91.65,35.01,-89.37,31.0
2256,-116.07,49.01,-104.04,44.35
2257,-105.72,37.0,-102.99,32.0
2258,-107.73,37.0,-104.84,31.78
2259,-109.06,37.0,-106.32,31.33
2260,-75.87,45.02,-73.23,40.88
2261,-77.75,44.41,-75.04,41.99
2262,-79.77,43.64,-77.36,41.99
2263,-74.26,41.3,-71.8,40.47
2264,-84.33,36.59,-75.38,33.83
2265,-104.07,49.01,-96.83,47.15
2266,-104.05,47.83,-96.55,45.93
2267,-103.0,37.01,-94.42,35.27
2268,-100.0,35.57,-94.42,33.62
2269,-124.17,46.26,-116.47,43.95
2270,-124.6,44.56,-116.9,41.98
2271,-80.53,42.53,-74.7,40.6
2272,-80.53,41.18,-74.72,39.71
2273,-83.36,35.21,-78.52,32.05
2274,-90.31,36.68,-81.65,34.98
2275,-103.03,36.5,-99.99,34.3
2276,-103.07,34.58,-94.0,31.72
2277,-106.66,32.27,-93.5,29.78
2278,-105.0,30.67,-93.76,27.78
2279,-100.2,28.21,-96.85,25.83
2280,-114.04,42.01,-109.04,40.55
2281,-114.05,41.08,-109.04,38.49
2282,-114.05,38.58,-109.04,36.99
2283,-80.06,39.46,-76.51,37.77
2284,-83.68,38.28,-75.31,36.54
2285,-124.79,49.05,-117.02,47.08
2286,-124.4,47.61,-116.91,45.54
2287,-92.89,47.31,-88.05,45.37
2288,-92.89,45.8,-86.25,43.98
2289,-91.43,44.33,-86.95,42.48
2290,-64.49,47.09,-61.9,45.9
2291,-64.49,47.09,-61.9,45.9
2292,-64.49,47.09,-61.9,45.9
2294,-63.0,47.08,-59.73,44.64
2295,-66.28,46.02,-63.0,43.41
2296,-38.86,65.91,-36.81,65.52
2297,-65.06,83.67,-11.81,81.0
2298,-44.0,81.0,-14.33,78.0
2299,-73.29,79.0,-65.24,78.0
2300,-44.0,78.0,-17.12,75.0
2301,-72.79,78.0,-56.31,75.0
2302,-38.0,75.0,-17.21,72.0
2303,-58.21,75.0,-52.02,72.0
2304,-56.06,72.0,-49.11,69.0
2305,-54.09,69.0,-49.4,66.0
2306,-53.7,66.0,-49.17,63.0
2307,-50.72,63.0,-42.52,59.74
2308,105.77,-4.07,110.01,-6.89
